Регион,Адрес,Название,Цена,Контактов / мес,"Интенсивность выхода, каждые N мин",Часы работы,Выходов / мес,lat,lon
Санкт-Петербург,"ул. Двинская, 14а",Светофор,8420.0,16000,15,09:00 - 21:00,1344,59.908028,30.244775
Санкт-Петербург,"п. Парголово, Выборгское ш., 369 к. 6",Светофор,8420.0,23000,15,09:00 - 21:00,1344,60.073777,30.282523
Санкт-Петербург,"пр. Александровской Фермы, 17 к. 3",Светофор,8420.0,26376,15,09:00 - 21:00,1344,59.860459,30.448927
Санкт-Петербург,"ул. Бухарестская, 10",Светофор,8420.0,19000,15,09:00 - 21:00,1344,59.890731,30.36258
Санкт-Петербург,"ул. Композиторов, 32",Светофор,8420.0,27000,15,09:00 - 21:00,1344,60.064618,30.319542
Санкт-Петербург,"ул. Ново-Рыбинская, 19/21",Светофор,8420.0,17445,15,09:00 - 21:00,1344,59.902686,30.337275
Санкт-Петербург,"Ленинский пр., 144, к.2",Светофор,8420.0,32000,15,09:00 - 21:00,1344,59.852737,30.28749
Санкт-Петербург,"пр. Пархоменко, 5",Светофор,8420.0,15000,15,09:00 - 21:00,1344,59.999674,30.333493
Москва,"Ленинградский пр-кт, 47",Верный,17980.0,30000,15,08:00 - 22:00,1568,55.799907,37.531316
Бийск,"ул. Каховская, 155/1",Светофор,5400.0,15322,15,08:00 - 20:00,1344,52.543832,85.170898
Бийск,"ул. Л. Толстого, 111",Светофор,5400.0,18903,15,08:00 - 20:00,1344,52.548728,85.234364
Бийск,"ул. Красильникова, 305д",Светофор,5400.0,17811,15,08:00 - 20:00,1344,52.5356,85.2685
Бийск,"ул. Иркутская, 12",Светофор,5400.0,14890,15,08:00 - 20:00,1344,52.546762,85.204297
Барнаул,"пр. Дзержинского, 41",Светофор,5400.0,30000,15,08:00 - 20:00,1344,53.252851,83.68106
Барнаул,"пр. Космонавтов, 59/8 к.3",Светофор,5400.0,20000,15,08:00 - 20:00,1344,53.38307,83.689414
Магнитогорск,"Западное шоссе, 381б",Маяк,6970.0,12000,15,09:00 - 21:00,1344,53.361157,58.931998
Приморский кр,"с. Шкотово, ул. Советская, 14а",Светофор,,17987,15,09:00 - 20:00,1232,43.323961,132.352968
Приморский кр,"с. Черниговка, ул. Ленинская, 62",Светофор,,20755,15,09:00 - 20:00,1232,44.340587,132.574843
Приморский кр,"с. Хороль, ул. Чапаева, 38А",Светофор,,16634,15,09:00 - 20:00,1232,44.412567,132.072155
Приморский кр,"г. Фокино, ул. Дальняя, 28а",Светофор,,14150,15,09:00 - 20:00,1232,42.991548,132.408089
Приморский кр,"г. Уссурийск, ул. Урицкого, 71",Светофор,,10992,15,09:00 - 20:00,1232,43.825044,131.994091
Приморский кр,"г. Уссурийск, ул. Тургенева, 65а",Светофор,,7618,15,09:00 - 20:00,1232,43.811026,131.973151
Приморский кр,"г. Уссурийск, ул. Сельскохозяйственная, 23",Светофор,,17604,15,09:00 - 20:00,1232,43.800968,131.913054
Приморский кр,"г. Уссурийск, ул. Дзержинского, 120А",Светофор,8860.0,12000,15,09:00 - 20:00,1232,43.81288,131.937309
Приморский кр,"г. Спасск-Дальний, ул. Краснознамённая, 50а",Светофор,,24457,15,09:00 - 20:00,1232,44.586125,132.819436
Приморский кр,"г. Спасск-Дальний, ул. 3-я Загородная, 9/4",Светофор,,11143,15,09:00 - 20:00,1232,44.585355,132.794993
Приморский кр,"п. Славянка, ул. Свободная, 3в",Светофор,,16351,15,09:00 - 20:00,1232,42.860408,131.382284
Приморский кр,"п. Сибирцево, ул. Постышева, 6А",Светофор,,20885,15,09:00 - 20:00,1232,44.205646,132.443716
Приморский кр,"п. Раздольное, ул. Лазо, 308А",Светофор,,12000,15,09:00 - 20:00,1232,43.517483,131.903496
Приморский кр,"с. Прохладное, ул. Центральная, 36",Светофор,,11141,15,09:00 - 20:00,1232,43.338951,132.030967
Приморский кр,"пгт. Пограничный, ул. Рабочая, 4",Светофор,,12889,15,09:00 - 20:00,1232,44.404266,131.380335
Приморский кр,"г. Партизанск, ул. Партизанская, 73",Светофор,,15424,15,09:00 - 21:00,1344,43.141032,133.160823
Приморский кр,"пгт. Ольга, ул. Ленинская, 43",Светофор,,10755,15,08:00 - 21:00,1456,43.749709,135.298023
Приморский кр,"пгт. Новочугуевка, ул. Железнодорожная, 6А",Светофор,,12597,15,09:00 - 20:00,1232,44.223361,133.836042
Приморский кр,"г. Находка, мкр. Ливадия, ул. Сейнерная, 1",Светофор,,17879,15,09:00 - 20:00,1232,42.860415,132.69448
Приморский кр,"с. Михайловка, ул. Вокзальная, 58",Светофор,8860.0,14259,15,09:00 - 20:00,1232,43.935672,132.023241
Приморский кр,"пгт. Липовцы, ул. Шоссейная, 58/1Б",Светофор,,5599,15,09:00 - 20:00,1232,44.201646,131.700225
Приморский кр,"г. Лесозаводск, ул. Лагоды, 1а",Светофор,,13074,15,09:00 - 20:00,1232,45.483257,133.433066
Приморский кр,"пгт. Кировский, ул. Ленинская, 114",Светофор,,12477,15,09:00 - 20:00,1232,45.098169,133.482815
Приморский кр,"пгт. Кавалерово, ул. Первомайская, 1-10",Светофор,,17422,15,09:00 - 20:00,1232,44.26531,135.03796
Приморский кр,"г. Дальнереченск, ул. Автомобильная, 11",Светофор,,19328,15,09:00 - 19:00,1120,45.932172,133.722297
Приморский кр,"г. Дальнегорск, пр. 50 лет Октября, 316",Светофор,,14170,15,09:00 - 20:00,1232,44.55069,135.642706
Приморский кр,"г. Дальнегорск, пр. 50 лет Октября, 165",Светофор,,22875,15,09:00 - 20:00,1232,44.560909,135.5887
Приморский кр,"с. Вольно-Надеждинское, ул. Пушкина, 38",Светофор,,23778,15,09:00 - 20:00,1232,43.36938,131.99631
Приморский кр,"с. Владимиро-Александровское, ул. Лазо, 42Г",Светофор,,12000,15,09:00 - 20:00,1232,42.891256,133.072986
Владивосток,"ул. Чукотская, 6В",Светофор,,12133,15,09:00 - 20:00,1232,43.093867,131.941441
Владивосток,"ул. Чапаева, 2д",Светофор,,20228,15,09:00 - 20:00,1232,43.189744,131.914851
Владивосток,"ул. Калинина, 204",Светофор,,19977,15,09:00 - 20:00,1232,43.090319,131.884676
Владивосток,"ул.Заречная, 35, стр. 11",Светофор,,15177,15,09:00 - 20:00,1232,43.284591,132.069783
Владивосток,"ул. Выселковая, 64",Светофор,8860.0,17020,15,09:00 - 20:00,1232,43.151287,131.955984
Владивосток,"ул. Леонова, 1",Светофор,8860.0,12475,15,09:00 - 20:00,1232,43.086882,131.857242
Приморский кр,"г. Большой Камень, ул. Ворошилова, 1",Светофор,,19075,15,09:00 - 20:00,1232,43.119774,132.375812
Приморский кр,"г. Артем, ул. Челюскина, 15а",Светофор,,12000,15,09:00 - 20:00,1232,43.354253,132.161259
Приморский кр,"г. Артем, ул. Кишиневская, 30",Светофор,,9116,15,09:00 - 20:00,1232,43.362951,132.069154
Приморский кр,"г. Артем, ул. Кирова, 73, с.4",Светофор,,31985,15,09:00 - 20:00,1232,43.361653,132.207782
Приморский кр,"г. Артем, ул. Ворошилова, 6",Светофор,,11592,15,09:00 - 20:00,1232,43.380107,132.285891
Приморский кр,"г. Арсеньев, ул. Стахановская, 40",Светофор,,23232,15,09:00 - 20:00,1232,44.135784,133.273975
Приморский кр,"г. Арсеньев, ул. 9 Мая, 73В",Светофор,,13621,15,09:00 - 20:00,1232,44.162743,133.283344
Приморский кр,"с. Анучино, ул. Лазо, 16/3",Светофор,,7699,15,08:00 - 22:00,1568,43.95724,133.054696
Приморский кр,"г. Уссурийск, ул. Лимичевская, 19",Светофор,,14807,15,09:00 - 20:00,1232,43.843628,131.939482
Приморский кр,"г. Уссурийск, Владивостокское ш., 47",Светофор,8860.0,14951,15,09:00 - 20:00,1232,43.760134,131.989581
Приморский кр,"с. Покровка, ул. Пионерская, 25А/1",Светофор,,10534,15,09:00 - 20:00,1232,43.960134,131.640478
Приморский кр,"г. Партизанск, ул. К. Коренова, 1",Светофор,,30493,15,09:00 - 20:00,1232,43.119478,133.115099
Приморский кр,"г. Находка, ул. Артемовская, 1Б",Светофор,,29424,15,09:00 - 20:00,1232,42.842278,132.918395
Приморский кр,"г. Лучегорск, Автотранспортный пр-д, 15/2",Светофор,,18253,15,09:00 - 20:00,1232,46.447938,134.290562
Приморский кр,"г. Лесозаводск, ул. Староуссурская, 1",Светофор,,20271,15,09:00 - 20:00,1232,45.463955,133.426859
Приморский кр,"г. Артем, ул. 1-я Рабочая, 77",Светофор,,18947,15,09:00 - 20:00,1232,43.332427,132.095628
Приморский кр,"г. Арсеньев, ул. Заводская, 5",Светофор,,17450,15,09:00 - 21:00,1344,44.163817,133.253673
Кемеровская обл,"г. Мыски, ул. Пушкина, 5",Мария-Ра,7720.0,30000,15,08:00 - 22:00,1568,53.713185,87.800797
Свердловская обл,"г. Артемовский, ул. Акулова, 6",Низкоцен,7720.0,24690,15,09:00 - 23:00,1568,57.361439,61.867962
Кызыл,"ул. Каменистая, 15/3",Маяк,,16000,15,09:00 - 21:00,1344,51.70874,94.442689
Абакан,"ул. Павших Коммунаров, 50",Маяк,,16000,15,09:00 - 21:00,1344,53.713948,91.474547
Красноярск,"ул. Академика Вавилова, 1, стр. 54",Маяк,9670.0,16000,15,09:00 - 20:00,1232,55.993922,92.913891
Красноярск,"Пр-кт им. газеты Красноярский Рабочий, 30а/6",Маяк,,16000,15,08:00 - 21:00,1456,56.021226,93.003803
Красноярск,"ул. Норильская, 9, стр. 25",Маяк,,16000,15,09:00 - 21:00,1344,56.055402,92.712461
Красноярск,"ул. 60 лет Октября, д. 90/5",Маяк,,16000,15,09:00 - 21:00,1344,55.97807,92.869164
Братск,"Трасса Братск-Тулун, ​П, 10140101",Маяк,,16000,15,09:00 - 21:00,1344,56.151682,101.633505
Братск,"ул. Ангарская, 6",Маяк,,16000,15,09:00 - 21:00,1344,56.278383,101.862557
Ачинск,"пр-д Авиаторов, 5а",Маяк,,16000,15,09:00 - 21:00,1344,56.261913,90.471443
Красноярск,"ул. Мужества, 10",Маяк,9670.0,16000,15,09:00 - 21:00,1344,56.034501,92.884345
Красноярск,"ул. Гайдашовка, 32",Маяк,9670.0,16000,15,09:00 - 21:00,1344,56.073479,92.944469
Красноярский край,"п. Солонцы, пр-кт Котельникова, 9, к.1",Маяк,,16000,15,09:00 - 21:00,1344,56.054513,92.836204
Омск,"ул. Мира, 69, к.3",Маяк,6530.0,16000,15,09:00 - 21:00,1344,55.027232,73.251206
Омск,"ул. Кирова, 53",Маяк,6530.0,16000,15,09:00 - 21:00,1344,54.942899,73.425578
Омск,"ул. 22 Партсъезда, 51б, к3",Маяк,6530.0,16000,15,09:00 - 21:00,1344,55.025152,73.431588
